Network Name,IP Address,u_marsha,u_lsp
FRADE,62.157.211.18,FRADE,Mikenopa
BVAOX,212.106.113.12,BVAOX,Mikenopa
POZOX,217.97.158.58,POZOX,Mikenopa
TSEXR,85.29.134.216,TSEXR,Mikenopa
PRGCY,89.24.97.133,PRGCY,Mikenopa
WAWFP,178.73.4.88,WAWFP,Mikenopa
TBSMC,2.57.219.247,TBSMC,Mikenopa
WAWWI,37.128.98.192,WAWWI,Mikenopa
PARSD,37.71.5.122,PARSD,Mikenopa
VCEVM,2.33.78.9,VCEVM,Mikenopa
ABZRI,167.98.54.183,ABZRI,Mikenopa
CPTNW,105.28.113.221,CPTNW,Hoist Group
VLCAK,195.235.104.212,VLCAK,Hoist Group
AMSCA,85.146.217.174,AMSCA,Hoist Group
LGWCY,193.115.219.44,LGWCY,Hoist Group
LONBD,167.98.43.54,LONBD,Hoist Group
VCEXR,88.42.165.131,VCEXR,Mikenopa
KUNOX,88.216.176.103,KUNOX,Hoist Group
CPTAR,105.28.119.208,CPTAR,Hoist Group
JNBOR,105.28.103.162,JNBOR,Hoist Group
LHRHR,167.98.10.27,LHRHR,Hoist Group
MRSAR,37.71.255.132,MRSAR,Hoist Group
PARTX,109.7.64.19,PARTX,Hoist Group
MANAQ,213.106.181.179,MANAQ,Hoist Group
JEDSI,77.221.113.198,JEDSI,Hoist Group
PARCC,46.193.104.230,PARCC,Hoist Group
AUHMD,83.111.62.18,AUHMD,Hoist Group
DXBLV,151.253.54.61,DXBLV,Hoist Group
LONRI,167.98.39.149,LONRI,Hoist Group
GLAOS,167.98.112.2,GLAOS,Hoist Group
DXBAS,151.253.162.219,DXBAS,Hoist Group
LONWH,167.98.244.83,LONWH,Hoist Group
ISTGS,176.88.174.66,ISTGS,Hoist Group
ALCMM,195.55.206.131,ALCMM,Hoist Group
QQYOX,167.98.167.116,QQYOX,Hoist Group
MBDPR,165.165.144.252,MBDPR,Hoist Group
DXBTP,151.253.0.171,DXBTP,Hoist Group
JNBER,41.170.79.7,JNBER,Hoist Group
PARBE,37.71.143.170,PARBE,Hoist Group
PARST,46.218.58.222,PARST,Hoist Group
SEACA,4.42.79.211,SEACA,Cloud5
SEACA,4.42.79.211,SEACA,Cloud5
ANCCY,216.67.99.37,ANCCY,GuestTek
ANCSH,216.67.99.19,ANCSH,GuestTek
CYMFP,50.237.141.20,CYMFP,GuestTek
DFWCA,65.117.148.58,DFWCA,GuestTek
ERISH,98.100.28.226,ERISH,GuestTek
EWRSE,65.216.222.132,EWRSE,GuestTek
FLLFD,12.38.104.51,FLLFD,GuestTek
FYVFA,99.11.64.225,FYVFA,GuestTek
JAXRV,12.168.235.131,JAXRV,Concord
ABETS,209.173.14.192,ABETS,SingleDigits
AIYCY,130.251.240.70,AIYCY,SingleDigits
ATLAH,24.104.125.1,ATLAH,SingleDigits
RUHSA,5.42.240.230,RUHSA,interTouch
TPECD,60.251.164.196,TPECD,interTouch
BKKLA,58.64.44.3,BKKLA,interTouch
RUHDQ,87.101.131.163,RUHDQ,interTouch
ADDLC,213.55.101.101,ADDLC,interTouch
XMNMC,59.60.12.66,XMNMC,interTouch
HGHER,122.225.130.147,HGHER,interTouch
ZISSI,116.6.42.181,ZISSI,interTouch
DELMD,103.51.116.123,DELMD,interTouch
BDOCY,222.165.206.183,BDOCY,interTouch
BLRJW,115.110.70.196,BLRJW,interTouch
DELWI,110.173.191.136,DELWI,interTouch
CAISI,41.33.48.186,CAISI,GuestTek
GUMWI,67.98.162.156,GUMWI,interTouch
PABCY,219.65.118.5,PABCY,interTouch
IXCJW,115.111.242.138,IXCJW,interTouch
SHALU,116.247.99.181,SHALU,interTouch
HRGSS,41.33.182.196,HRGSS,interTouch
MAAFC,45.112.55.118,MAAFC,interTouch
ADDER,196.189.180.83,ADDER,interTouch
PNQCM,103.76.10.180,PNQCM,interTouch
SHAMG,203.156.230.101,SHAMG,interTouch
HYDMD,115.114.114.196,HYDMD,interTouch
PYXBR,103.40.137.212,PYXBR,interTouch
BLRAL,103.163.68.140,BLRAL,interTouch
RUHAB,87.101.152.51,RUHAB,interTouch
BAHER,87.252.101.132,BAHER,GuestTek
CJBFI,182.72.217.26,CJBFI,interTouch
RUHAL,37.76.255.105,RUHAL,interTouch
NTGFP,61.177.204.147,NTGFP,interTouch
MAACY,123.176.34.12,MAACY,interTouch
WUHFJ,58.48.160.194,WUHFJ,interTouch
AMDCY,103.254.34.195,AMDCY,interTouch
SELSA,183.96.224.3,SELSA,interTouch
MCTRZ,134.0.177.212,MCTRZ,interTouch
HYDMC,115.114.129.60,HYDMC,interTouch
HYDSI,14.143.14.132,HYDSI,interTouch
SHASY,101.231.152.232,SHASY,interTouch
BJSRZ,60.247.97.39,BJSRZ,interTouch
MCTMJ,85.154.29.28,MCTMJ,interTouch
SELMO,210.92.147.132,SELMO,interTouch
JEDMK,82.197.60.142,JEDMK,interTouch
MCTWH,134.0.206.35,MCTWH,interTouch
DELGU,103.234.156.146,DELGU,interTouch
SHARN,222.71.155.82,SHARN,interTouch
BAHRI,87.252.101.147,BAHRI,GuestTek
SYXWS,113.59.70.22,SYXWS,interTouch
CSXYF,218.76.54.58,CSXYF,interTouch
SELCS,115.89.79.131,SELCS,interTouch
BKKAP,202.133.182.53,BKKAP,interTouch
NOUMD,61.5.211.34,NOUMD,interTouch
INCSI,61.133.203.59,INCSI,interTouch
CAIWI,82.129.137.212,CAIWI,GuestTek
BLROX,14.194.222.139,BLROX,interTouch
DEDJW,103.93.115.42,DEDJW,interTouch
FUOCY,27.45.147.195,FUOCY,interTouch
HKGOP,42.200.6.30,HKGOP,interTouch
RMQFI,61.218.135.2,RMQFI,interTouch
SHASF,116.236.91.227,SHASF,interTouch
HAKRZ,210.13.236.34,HAKRZ,interTouch
SHLCY,103.74.169.175,SHLCY,interTouch
HUZLM,119.146.93.154,HUZLM,interTouch
BJSCP,123.124.235.41,BJSCP,interTouch
TPECY,61.222.133.33,TPECY,interTouch
HYDWH,122.184.79.131,HYDWH,interTouch
BLRWF,103.240.101.215,BLRWF,interTouch
TUSDS,70.182.52.211,TUSDS,Cloud5
MIAAK,162.225.119.231,MIAAK,Blueprint RF
ICTFD,12.219.119.217,ICTFD,SONIFI
INTWS,96.10.151.62,INTWS,SONIFI
LAXMB,216.193.225.190,LAXMB,SONIFI
SGFSN,95.115.112.50,SGFSN,SONIFI
TYSKN,12.138.228.131,TYSKN,SONIFI
YSBFI,209.91.163.245,YSBFI,SONIFI
DPSSK,114.129.18.5,DPSSK,Microsense
GOIVM,103.97.92.245,GOIVM,Microsense
ATHOX,31.16.114.70,ATHOX,Hoist Group
LHRSI,31.221.56.19,LHRSI,Mikenopa
VIESE,213.143.110.100,VIESE,Mikenopa
LBCSC,62.26.108.68,LBCSC,Mikenopa
YEIBG,38.255.88.197,YEIBG,Mikenopa
PARAR,193.163.90.140,PARAR,Mikenopa
PRGWH,197.47.25.34,PRGWH,Mikenopa
VPSTS,63.158.39.69,VPSTS,Blueprint RF
OCWFI,50.238.2.211,OCWFI,Blueprint RF
LAXTC,47.176.62.28,LAXTC,SafetyNetAccess
MSYSI,12.179.31.148,MSYSI,SafetyNetAccess
NYCFF,72.69.87.227,NYCFF,SafetyNetAccess
INTSR,70.63.197.242,INTSR,Blueprint RF
MAFOD,24.116.217.66,MAFOD,Blueprint RF
PEQFI,208.180.102.2,PEQFI,Blueprint RF
PHLVS,50.207.206.228,PHLVS,Blueprint RF
YYTDS,24.114.222.202,YYTDS,SafetyNetAccess
TYRTR,72.47.46.130,TYRTR,SafetyNetAccess
TCLTS,50.193.245.83,TCLTS,SafetyNetAccess
MSYTD,12.179.31.149,MSYTD,SafetyNetAccess
DFWWS,12.46.42.46,DFWWS,SafetyNetAccess
LNSRI,50.239.175.67,LNSRI,Cloud5
AUGFI,216.195.130.181,AUGFI,SingleDigits
BGRRI,64.140.212.246,BGRRI,SingleDigits
BGRTS,66.63.86.88,BGRTS,SingleDigits
BNAGI,207.86.216.85,BNAGI,SingleDigits
BOSBM,38.111.11.9,BOSBM,SingleDigits
CHINO,209.214.189.132,CHINO,SingleDigits
CSGAO,216.186.132.34,CSGAO,SingleDigits
COSSM,50.169.172.51,COSSM,Cloud5
YXEDS,64.141.14.139,YXEDS,SingleDigits
YWGDW,66.244.231.237,YWGDW,SingleDigits
YVRDB,97.111.8.25,YVRDB,SingleDigits
YSCDR,207.96.226.207,YSCDR,SingleDigits
YQMDR,72.138.110.90,YQMDR,SingleDigits
YHZMC,72.138.99.58,YHZMC,SingleDigits
YFCDF,72.138.110.139,YFCDF,SingleDigits
PWMBW,66.63.80.40,PWMBW,SingleDigits
MLBFV,12.175.168.67,MLBFV,SingleDigits
MIALA,206.99.220.101,MIALA,SingleDigits
LAXAX,12.39.250.125,LAXAX,SingleDigits
GNVRI,174.78.223.61,GNVRI,SingleDigits
DFWSI,64.183.196.70,DFWSI,SingleDigits
CURBR,161.0.97.101,CURBR,SingleDigits
CUNFP,186.96.3.236,CUNFP,SingleDigits
CUNFI,201.132.14.237,CUNFI,SingleDigits
FAYSL,66.19.95.3,FAYSL,SingleDigits
HOUMW,12.156.172.5,HOUMW,SingleDigits
LAXLS,12.231.173.240,LAXLS,SingleDigits
MIAES,104.178.77.88,MIAES,SingleDigits
OAKAP,209.0.100.91,OAKAP,SingleDigits
PFNFI,96.27.163.221,PFNFI,SingleDigits
YYGDP,24.222.66.215,YYGDP,SingleDigits
YKFDG,72.138.38.150,YKFDG,SingleDigits
SJCSJ,12.104.145.12,SJCSJ,SingleDigits
BQKCY,69.64.117.163,BQKCY,SONIFI
CLEAL,98.103.171.28,CLEAL,SONIFI
AUHRX,94.56.211.161,AUHRX,Reivernet
DABPC,66.19.243.227,DABPC,Allbridge
FLGSH,4.2.33.114,FLGSH,Allbridge
HTSDH,204.124.83.243,HTSDH,Allbridge
JAXJB,50.233.235.225,JAXJB,Allbridge
NYCEB,207.237.128.58,NYCEB,Allbridge
OMAWF,98.188.140.251,OMAWF,Allbridge
TPAPC,72.109.250.163,TPAPC,Allbridge
LITPB,12.189.37.162,LITPB,Allbridge
YYCWA,74.3.191.100,YYCWA,GuestTek
ROCFG,69.193.93.100,ROCFG,GuestTek
ROCFI,69.193.93.170,ROCFI,GuestTek
SANCB,12.36.36.155,SANCB,GuestTek
ERIDT,63.104.132.227,ERIDT,Allbridge
TULTD,98.164.35.108,TULTD,GuestTek
SATAP,65.59.243.15,SATAP,GuestTek
TPLFI,12.5.150.35,TPLFI,GuestTek
BWISU,50.169.40.50,BWISU,GuestTek
CHIKK,12.33.175.163,CHIKK,GuestTek
LEXKE,64.190.242.50,LEXKE,GuestTek
DTWFY,12.14.37.34,DTWFY,GuestTek
YYZRU,69.17.174.67,YYZRU,GuestTek
YGKFI,50.115.181.51,YGKFI,GuestTek
MKEFW,12.149.165.130,MKEFW,GuestTek
TPASH,209.155.221.195,TPASH,GuestTek
FHKSH,63.247.178.27,FHKSH,Cloud5
MCIAC,76.201.156.133,MCIAC,Cloud5
MWDFI,12.110.242.194,MWDFI,GuestTek
SATCD,65.59.243.2,SATCD,GuestTek
AYTLD,91.93.38.206,AYTLD,Mikenopa
CXRHT,222.255.146.133,CXRHT,Reivernet
DXBCB,94.56.76.182,DXBCB,Reivernet
DXBDE,2.50.5.242,DXBDE,Reivernet
DXBMB,213.42.94.91,DXBMB,Reivernet
GVAWH,212.243.247.253,GVAWH,Reivernet
HAMRN,176.94.185.194,HAMRN,Reivernet
PWMBA,64.140.214.247,PWMBA,SingleDigits
KCHSI,210.187.46.29,KCHSI,Reivernet
KULCS,103.226.126.230,KULCS,Reivernet
RDGFI,63.104.146.2,RDGFI,SafetyNetAccess
INDED,216.238.26.181,INDED,SafetyNetAccess
WASSX,50.233.149.130,WASSX,Comcast Business
YYZDS,207.219.231.53,YYZDS,SafetyNetAccess
BUFAP,204.253.58.105,BUFAP,SafetyNetAccess
MYRCY,168.92.224.105,MYRCY,SafetyNetAccess
SLCAP,130.250.248.34,SLCAP,SafetyNetAccess
SANMC,130.250.246.67,SANMC,SafetyNetAccess
SJCAC,12.35.38.194,SJCAC,SafetyNetAccess
SEAOX,12.35.38.19,SEAOX,SafetyNetAccess
JAXJS,12.159.11.163,JAXJS,SafetyNetAccess
CLTSW,134.204.31.10,CLTSW,SafetyNetAccess
MILSS,5.96.34.132,MILSS,Mikenopa
TUNMC,213.150.188.194,TUNMC,Hoist Group
MMJCH,153.156.18.171,MMJCH,NEC
MMJFJ,153.156.22.84,MMJFJ,NEC
OSAOW,153.246.67.41,OSAOW,NEC
TYOEB,125.102.174.53,TYOEB,NEC
CLERI,12.168.218.202,CLERI,Concord
LONCH,167.98.10.52,LONCH,Reivernet
EYWFK,162.251.117.99,EYWFK,SafetyNetAccess
RSWAC,74.121.175.215,RSWAC,SafetyNetAccess
PWMNC,209.213.65.82,PWMNC,SafetyNetAccess
DENBX,50.169.240.3,DENBX,SafetyNetAccess
SJUFP,207.150.224.132,SJUFP,SafetyNetAccess
SNAPL,12.29.234.134,SNAPL,SafetyNetAccess
COSFS,8.9.44.56,COSFS,SafetyNetAccess
RICCD,70.33.137.34,RICCD,SafetyNetAccess
RICCD,70.33.137.34,RICCD,SafetyNetAccess
ORFVS,216.12.108.6,ORFVS,SafetyNetAccess
YQARI,69.158.235.50,YQARI,SafetyNetAccess
PHXXL,63.239.218.55,PHXXL,SafetyNetAccess
BTRGZ,209.124.218.208,BTRGZ,SafetyNetAccess
