Network Name,IP Address,u_marsha,u_lsp
MCIKS,40.141.128.254,MCIKS,HotSpot International
MBSCB,47.44.150.142,MBSCB,Parity
MCISR,40.141.128.246,MCISR,HotSpot International
MEITX,142.190.4.94,MEITX,HotSpot International
MRYSH,50.225.143.226,MRYSH,HotSpot International
NYCET,198.179.68.60,NYCET,SONIFI
NYCFT,68.233.183.94,NYCFT,HotSpot International
NYCLR,172.254.56.190,NYCLR,HotSpot International
NYCSK,198.179.70.110,NYCSK,HotSpot International
OAKFI,50.239.62.154,OAKFI,HotSpot International
ONTTC,69.75.186.254,ONTTC,HotSpot International
PBGFI,72.22.6.126,PBGFI,HotSpot International
PHLCN,50.228.127.131,PHLCN,HotSpot International
PHLCV,206.136.82.238,PHLCV,HotSpot International
PHLMO,38.123.136.147,PHLMO,Parity
PNSOR,69.85.218.158,PNSOR,HotSpot International
RMGCY,12.162.192.110,RMGCY,Parity
ROCFB,24.213.244.62,ROCFB,HotSpot International
SAFCY,50.238.160.222,SAFCY,HotSpot International
SANCD,12.0.118.110,SANCD,HotSpot International
SBNCB,50.237.8.30,SBNCB,HotSpot International
SBNSD,50.225.245.200,SBNSD,HotSpot International
SFOAK,12.51.135.28,SFOAK,HotSpot International
SLCFM,63.78.215.21,SLCFM,HotSpot International
SLCSW,104.244.87.226,SLCSW,HotSpot International
TEBEL,24.38.7.46,TEBEL,SONIFI
TOLBG,147.0.240.190,TOLBG,HotSpot International
YEGAF,208.118.95.98,YEGAF,GuestTek
CSGLG,47.44.50.114,CSGLG,Blueprint RF
LNKTS,162.210.5.60,LNKTS,SONIFI
LSEFD,104.201.89.194,LSEFD,SONIFI
GNVSC,204.134.233.2,GNVSC,SONIFI
HNMWI,24.43.221.5,HNMWI,SONIFI
RDUSF,96.10.240.194,RDUSF,SONIFI
PVDDT,70.169.182.147,PVDDT,SONIFI
TLHCH,63.149.176.4,TLHCH,Comcast Business
WASPS,50.228.127.229,WASPS,HotSpot International
WCTNW,98.6.81.94,WCTNW,HotSpot International
VISVT,12.45.179.138,VISVT,SONIFI
YULAL,207.35.220.221,YULAL,HotSpot International
YQRDR,207.195.91.94,YQRDR,HotSpot International
AOOTA,209.196.165.99,AOOTA,Blueprint RF
BFLTS,12.181.80.66,BFLTS,Blueprint RF
BHMBB,75.114.38.186,BHMBB,Blueprint RF
BHMCO,12.23.150.242,BHMCO,Blueprint RF
BNAKV,12.71.222.39,BNAKV,Blueprint RF
BOSAV,65.217.204.98,BOSAV,Blueprint RF
BTLFI,50.228.47.66,BTLFI,Blueprint RF
BURSC,12.96.123.134,BURSC,Blueprint RF
CHITL,12.1.126.220,CHITL,Blueprint RF
DALSH,12.189.133.134,DALSH,Blueprint RF
DENCD,204.132.107.34,DENCD,Blueprint RF
DENLK,205.169.165.10,DENLK,Blueprint RF
DFWFD,216.74.227.98,DFWFD,Blueprint RF
DFWWL,47.44.63.162,DFWWL,Blueprint RF
DSMEL,207.108.41.162,DSMEL,Blueprint RF
EWRGP,65.196.32.146,EWRGP,Blueprint RF
EWROG,134.6.206.34,EWROG,Blueprint RF
FATTS,12.51.39.66,FATTS,Blueprint RF
FWATS,50.239.174.98,FWATS,Blueprint RF
GRRSH,12.170.86.194,GRRSH,SONIFI
HOUBF,209.214.8.98,HOUBF,Blueprint RF
HOUKW,207.192.195.76,HOUKW,Blueprint RF
HOUTP,12.1.182.163,HOUTP,Blueprint RF
